code,name,enname,pct_chg_exact,limit_up_count,up_count,up_true_count,limit_up_used,open,high,low,close,pre_close,change,amplitude,vol,amount,sector,turnover_rate,volume_ratio,ma_3,pct_chg_3,ma_5,pct_chg_5,ma_10,pct_chg_10
000001,平安银行,"Ping An Bank Co., Ltd.",1.35,0,1,2,False,15.64,15.84,15.54,15.8,15.59,0.21,1.92,783257.94,1233388.886,SZ,0.4036,0.89,15.75,-0.32,15.9,-3.95,16.13,-2.95
000005,世纪星源,Shenzhen Fountain Corporation,0.68,0,1,2,False,2.94,2.95,2.91,2.95,2.93,0.02,1.37,44876.05,13173.249,SZ,0.4242,1.04,2.94,0.0,2.95,1.37,2.94,-0.34
000011,深物业A,Shenzhen Properties & Resources Development (Group) Ltd.,0.55,0,1,0,False,8.99,9.16,8.96,9.07,9.02,0.05,2.22,17573.38,15942.393,SZ,0.3338,1.28,9.07,-0.98,9.1,0.0,9.05,1.11
000012,南玻A,"CSG Holding Co.,Ltd.",1.86,0,1,0,False,4.29,4.37,4.27,4.37,4.29,0.08,2.33,75071.5,32510.68,SZ,0.3835,1.13,4.33,-0.46,4.36,0.92,4.35,1.39
000014,沙河股份,"Shahe Industrial Co.,Ltd.",0.67,0,1,2,False,8.92,9.07,8.86,8.96,8.9,0.06,2.36,14496.06,13012.825,SZ,0.7187,1.19,8.93,0.45,8.95,-0.11,8.97,-0.33
000016,深康佳A,"Konka Group Co.,Ltd",0.5,0,1,0,False,3.99,4.02,3.95,4.01,3.99,0.02,1.75,59967.07,23921.004,SZ,0.3756,0.95,4.0,0.25,4.01,-0.5,4.03,-2.2
000023,深天地A,"Shenzhen Universe (Group) Co.,Ltd",1.42,0,1,0,False,12.51,12.95,12.51,12.88,12.7,0.18,3.46,13483.0,17313.539,SZ,0.9717,1.14,12.77,-0.39,12.85,0.23,12.79,2.14
000026,飞亚达A,Fiyta Holdings Ltd.,0.48,0,1,0,False,8.36,8.47,8.26,8.42,8.38,0.04,2.51,46225.0,38661.356,SZ,1.2958,0.41,8.48,-3.44,8.61,-6.34,8.61,6.45
000027,深圳能源,"Shenzhen Energy Group Co., Ltd.",1.01,0,1,0,False,5.93,6.02,5.93,6.02,5.96,0.06,1.51,54231.09,32467.077,SZ,0.1368,1.04,5.99,1.01,5.99,-0.33,6.01,0.33
000028,国药一致,China National Accord Medicines Corporation Ltd.,1.05,0,1,1,False,43.86,44.19,43.21,44.16,43.7,0.46,2.24,16898.04,74126.571,SZ,0.5491,0.86,44.35,-3.64,45.02,-1.1,44.78,-3.54
000034,神州数码,"Digital China Group Co.,Ltd.",0.06,0,1,0,False,16.89,17.19,16.44,16.91,16.9,0.01,4.44,171751.29,289805.218,SZ,3.5378,0.58,17.0,-3.48,17.05,11.1,16.08,12.14
000039,中集集团,"China International Marine Containers (Group) Co., Ltd",0.85,0,1,1,False,9.53,9.56,9.43,9.54,9.46,0.08,1.37,28673.0,27238.864,SZ,0.1883,1.1,9.52,0.0,9.54,0.42,9.51,0.42
000045,深纺织A,"Shenzhen Textile (Holdings) Co.,Ltd.",0.28,0,1,0,False,7.12,7.17,7.01,7.14,7.12,0.02,2.25,32852.03,23318.405,SZ,0.7188,0.29,7.18,-4.67,7.36,-9.16,7.44,-2.59
000046,泛海控股,"Oceanwide Holdings Co., Ltd.",1.65,0,1,0,False,4.23,4.34,4.22,4.3,4.23,0.07,2.84,107469.42,46099.97,SZ,0.2077,1.66,4.26,2.14,4.25,2.38,4.24,0.23
000050,深天马A,"Tianma Microelectronics Co.,Ltd.",0.49,0,1,2,False,14.3,14.37,13.9,14.36,14.29,0.07,3.29,169470.44,240517.094,SZ,0.9266,0.55,14.45,-1.17,14.56,-2.71,14.39,2.35
000059,华锦股份,"North Huajin Chemical Industries Co.,Ltd",2.62,0,1,1,False,5.74,5.9,5.71,5.88,5.73,0.15,3.32,142753.12,83179.178,SZ,0.8925,3.14,5.78,2.98,5.77,2.44,5.75,2.62
000061,农产品,"Shenzhen Agricultural Products Group Co.,Ltd.",0.38,0,1,0,False,5.19,5.23,5.16,5.22,5.2,0.02,1.35,54493.96,28307.542,SZ,0.3214,1.52,5.21,0.0,5.22,0.58,5.2,1.75
000069,华侨城A,"Shenzhen Overseas Chinese Town Co.,Ltd",2.95,0,1,2,False,6.8,7.03,6.78,6.97,6.77,0.2,3.69,469092.88,325623.583,SZ,0.6685,1.89,6.86,1.6,6.87,1.6,6.9,-0.14
