code,name,up_down_flag,limit_up,limit_down,limit_up_used,limit_up_ctn,limit_up_count,up_ctn,up_count,up_count_true,cb_code,cb_name,pct_chg(%),pre_close_price,open_price,close_price,high,low,volume,pct_vol(%),MA5,pct_chg_5(%),MA10,pct_chg_10(%),MA20,pct_chg_20(%),MA30,pct_chg_30(%),ma_up,ma_up_count
300341,麦克奥迪,1,True,False,False,True,7,True,8,8,,,10.02,12.68,13.95,13.95,13.95,13.95,71072.41,10.2,11.63,61.09,9.58,105.75,8.25,114.62,7.55,146.47,True,10
000835,长城动漫,1,True,False,False,True,5,True,6,4,,,9.96,4.82,4.86,5.3,5.3,4.34,751925.19,78.71,4.42,61.09,3.82,66.14,3.7,30.86,3.78,29.9,False,0
600397,安源煤业,1,True,False,False,True,4,True,6,4,,,10.18,2.75,2.98,3.03,3.03,2.95,460442.48,-53.14,2.52,51.5,2.26,50.75,2.19,31.74,2.23,26.78,False,0
603555,贵人鸟,1,True,False,False,True,3,True,5,3,,,10.12,4.25,4.68,4.68,4.68,4.5,197820.36,41.82,3.95,38.87,3.7,36.84,3.71,16.42,3.78,12.5,False,0
300221,银禧科技,1,True,False,False,True,3,True,3,2,,,10.05,5.47,5.66,6.02,6.02,5.56,740039.81,476.86,5.12,34.98,4.85,26.21,4.96,9.65,5.13,6.17,False,0
002967,广电计量,1,True,False,False,True,3,True,3,3,,,10.0,27.8,28.5,30.58,30.58,26.95,601236.81,159.99,25.5,61.12,20.66,159.81,,,,,False,0
000609,中迪投资,1,True,False,False,True,3,True,6,6,,,9.96,5.32,5.85,5.85,5.85,5.79,405394.39,497.7,4.95,37.97,4.61,37.0,4.56,20.12,4.65,11.22,False,0
600105,永鼎股份,1,True,False,False,True,2,True,2,2,110058,永鼎转债,10.03,3.99,4.25,4.39,4.39,4.05,774848.49,160.64,3.88,21.27,3.76,17.38,3.87,2.57,3.92,8.66,False,0
002703,浙江世宝,1,True,False,False,True,2,True,2,3,,,10.02,4.79,5.02,5.27,5.27,4.9,435286.79,466.66,4.64,21.15,4.46,22.27,4.49,10.02,4.69,1.54,False,0
603123,翠微股份,1,True,False,False,True,2,True,2,2,,,10.0,7.8,8.58,8.58,8.58,8.46,467827.35,7435.88,7.34,28.25,6.99,29.41,6.56,41.82,6.34,44.69,True,2
002721,金一文化,1,True,False,False,True,2,True,2,2,,,9.94,5.23,5.6,5.75,5.75,5.44,368093.27,57.27,5.04,26.1,4.84,21.82,5.0,4.93,5.17,0.17,False,0
000717,韶钢松山,1,True,False,False,False,1,True,2,1,,,10.12,4.25,4.47,4.68,4.68,4.44,750089.3,-49.22,4.13,24.8,3.83,35.65,3.68,26.83,3.69,21.56,False,0
000671,阳光城,1,True,False,False,False,1,False,1,1,,,10.08,6.55,6.57,7.21,7.21,6.52,814051.81,308.72,6.8,8.1,6.66,8.91,6.57,12.66,6.57,9.74,False,0
600569,安阳钢铁,1,True,False,False,False,1,True,3,1,,,10.08,2.38,2.4,2.62,2.62,2.4,969874.21,131.87,2.35,17.49,2.27,17.49,2.28,10.55,2.31,7.38,False,0
601003,柳钢股份,1,True,False,False,False,1,True,2,2,,,10.08,5.16,5.22,5.68,5.68,5.2,607020.35,103.53,5.09,17.6,4.92,20.85,4.92,9.44,4.99,9.02,False,0
601599,鹿港文化,1,True,False,False,False,1,True,2,1,,,10.06,3.18,3.5,3.5,3.5,3.5,82731.22,-75.46,3.21,21.53,3.02,23.67,2.97,13.64,2.99,14.75,False,0
002184,海得控制,1,True,False,False,False,1,False,1,1,,,10.05,9.55,9.64,10.51,10.51,9.64,83828.61,260.35,9.92,6.7,9.89,5.73,10.17,-5.74,10.37,-5.14,False,0
600212,江泉实业,1,True,False,False,False,1,False,1,1,,,10.05,3.98,4.08,4.38,4.38,4.07,128629.95,44.95,4.06,11.73,4.07,1.62,4.06,0.0,4.37,-17.51,False,0
000933,神火股份,1,True,False,False,False,1,False,1,2,,,10.04,4.58,4.61,5.04,5.04,4.6,1329134.01,376.4,4.7,11.26,4.62,12.0,4.63,10.77,4.58,0.8,False,0
600121,郑州煤电,1,True,False,False,False,1,True,6,0,,,10.04,2.39,2.37,2.63,2.63,2.35,495319.43,153.71,2.35,20.09,2.26,21.2,2.26,9.58,2.3,7.35,False,0
